BoatName,BoatID,Day,Kg,Duration,Temperature,temperature,chlor_a,geometry
Rey,112,2020-06-10,8610,12,10.7,10.388498500000026,0.32,POINT (93 239)
Rey,112,2020-06-11,16605,12,10.5,9.84426000000002,1.59,POINT (93 239)
Rey,112,2020-06-12,28081,12,10.7,10.852869999999996,1.18,POINT (94 239)
Rey,112,2020-06-13,6654,12,11.3,10.370407999999998,0.77,POINT (94 239)
Rey,112,2020-06-15,7995,12,10.9,9.870710000000031,1.24,POINT (94 239)
Rey,112,2020-06-16,27490,12,10.9,9.622670000000028,1.21,POINT (94 239)
Rey,112,2020-06-17,9348,12,11.9,9.975307000000043,1.2,POINT (95 240)
Rey,112,2020-06-18,17281,12,11.8,10.828850000000045,1.41,POINT (96 240)
Rey,112,2020-06-19,23370,12,11.4,10.615584000000013,0.14,POINT (96 240)
Rey,112,2020-06-20,17257,12,11.5,9.482700000000023,2.1,POINT (95 241)
Rey,112,2020-06-21,31758,12,11.2,10.456700000000069,1.21,POINT (95 240)
Rey,112,2020-06-22,37392,12,11.0,9.8543545,1.33,POINT (95 240)
Rey,112,2020-06-23,24846,12,11.4,9.803524000000039,1.37,POINT (95 240)
Rey,112,2020-06-24,11980,12,11.6,9.80642499999999,1.14,POINT (95 240)
Rey,112,2020-06-25,30381,12,11.8,9.742425000000026,1.45,POINT (95 240)
Rey,112,2020-06-26,4920,12,10.6,9.06661500000007,0.84,POINT (95 241)
Rey,112,2020-06-27,5461,12,10.9,10.08483000000001,0.79,POINT (96 240)
Rey,112,2020-06-28,3333,12,11.4,10.628395000000069,1.3,POINT (96 239)
Rey,112,2020-06-29,18450,12,11.2,9.531650500000069,1.12,POINT (95 239)
Rey,112,2020-06-30,1673,12,10.7,9.405021000000033,1.11,POINT (95 238)
Korbin,113,2020-01-11,27896,12,14.2,13.858900000000006,1.22,POINT (89 235)
Korbin,113,2020-01-12,31033,12,14.4,14.136664999999994,0.78,POINT (89 235)
Korbin,113,2020-01-13,20369,12,14.9,14.454830000000015,1.09,POINT (89 235)
Korbin,113,2020-01-14,26543,12,14.8,14.693399999999997,0.83,POINT (90 235)
Korbin,113,2020-01-17,8512,12,13.8,13.716470000000072,0.69,POINT (90 235)
Korbin,113,2020-01-18,57835,12,15.0,14.988585,0.69,POINT (90 232)
Korbin,113,2020-01-19,26076,12,15.2,15.019845000000032,0.57,POINT (90 232)
Korbin,113,2020-01-20,49175,12,15.3,15.241665000000012,0.68,POINT (90 232)
Korbin,113,2020-01-21,44182,12,15.8,16.121590000000026,0.48,POINT (90 231)
Korbin,113,2020-01-22,7786,12,16.0,16.06895000000003,0.7,POINT (89 232)
Korbin,113,2020-01-23,11304,12,16.3,15.40687250000002,1.09,POINT (90 233)
Korbin,113,2020-01-24,50959,12,15.3,15.43709350000006,1.12,POINT (89 234)
Korbin,113,2020-01-25,16433,12,14.7,14.721171500000025,1.27,POINT (88 235)
Korbin,113,2020-01-26,33013,12,14.3,14.299810000000036,1.15,POINT (88 235)
Korbin,113,2020-01-27,16925,12,14.2,14.17358999999999,1.14,POINT (88 235)
Korbin,113,2020-01-28,27392,12,14.4,14.644187999999986,0.72,POINT (88 235)
Korbin,113,2020-01-29,21845,12,14.5,14.43137999999999,1.33,POINT (88 233)
Korbin,113,2020-02-02,58007,12,15.4,14.310375000000022,0.82,POINT (88 234)
Korbin,113,2020-02-03,51365,12,14.7,14.522361500000045,0.69,POINT (88 234)
Korbin,113,2020-02-04,24022,12,14.9,15.17994600000003,0.8,POINT (88 235)
Korbin,113,2020-02-05,46568,12,15.0,15.227720000000033,0.84,POINT (89 235)
Korbin,113,2020-02-06,14588,12,15.5,15.766915499999982,0.86,POINT (89 234)
Korbin,113,2020-02-07,58007,12,15.2,14.624740000000031,1.14,POINT (88 234)
Korbin,113,2020-02-08,26027,12,15.6,14.45136500000001,1.1,POINT (88 233)
Korbin,113,2020-02-09,56740,12,15.7,14.680245000000014,0.74,POINT (88 235)
Korbin,113,2020-02-10,18893,12,15.5,15.308904999999982,0.71,POINT (89 235)
Korbin,113,2020-02-11,12890,12,15.6,14.887155000000007,0.7,POINT (88 235)
Korbin,113,2020-02-12,28782,12,15.9,15.979627499999992,0.8,POINT (88 234)
Korbin,113,2020-02-13,37687,12,15.5,15.511144999999999,0.66,POINT (88 235)
Korbin,113,2020-02-14,20615,12,15.4,15.42652099999998,0.88,POINT (87 235)
Korbin,113,2020-02-15,31119,12,15.3,15.800650000000019,0.99,POINT (88 234)
Korbin,113,2020-02-16,23616,12,15.5,15.800900000000013,1.32,POINT (88 234)
Korbin,113,2020-02-17,54858,12,15.4,15.885732000000019,1.7,POINT (88 234)
Korbin,113,2020-02-18,38819,12,15.3,15.470815000000016,1.05,POINT (88 234)
Korbin,113,2020-02-22,17220,12,14.8,15.35752500000001,0.99,POINT (89 233)
Korbin,113,2020-02-23,9594,12,14.5,14.53179,1.56,POINT (88 234)
Korbin,113,2020-02-24,19631,12,14.6,14.987648500000034,1.9,POINT (88 234)
Korbin,113,2020-02-25,7921,12,14.7,14.353150000000028,0.96,POINT (88 234)
Korbin,113,2020-02-26,5535,12,14.4,15.012948000000051,1.23,POINT (88 234)
Korbin,113,2020-02-27,5314,12,14.5,14.747010000000046,1.11,POINT (89 235)
Korbin,113,2020-02-28,11291,12,14.6,13.817679999999996,2.01,POINT (87 235)
Korbin,113,2020-02-29,3567,12,14.8,14.640500000000031,1.28,POINT (87 234)
Korbin,113,2020-03-01,10467,12,15.1,14.921839999999975,1.6,POINT (87 233)
Korbin,113,2020-03-02,4748,12,12.5,12.26058999999998,3.52,POINT (84 237)
Korbin,113,2020-03-03,1439,12,16.3,16.075755000000015,1.13,POINT (87 233)
Korbin,113,2020-03-04,7798,12,12.3,14.211052999999993,1.12,POINT (84 237)
Korbin,113,2020-03-05,5461,12,11.9,16.085901500000034,1.0,POINT (84 237)
Korbin,113,2020-03-06,8573,12,12.1,16.100767500000018,1.63,POINT (85 238)
Korbin,113,2020-03-08,3321,12,15.8,15.38864000000001,0.76,POINT (89 234)
Korbin,113,2020-03-09,418,12,15.7,15.142969999999991,0.69,POINT (89 235)
Korbin,113,2020-03-10,541,12,12.0,13.99128300000001,1.16,POINT (85 237)
